800
S ^ 6 9
N 1
N 8
S & 9 13
N 14
S | 2 6
N 15
N 10
W class
N 15
N 3
S / 3 7
S % 9 15
S @ 5 8
N 13
S & 8 10
N 12
S $ 10 14
S $ 5 11
N 2
N 5
W discuss
N 6
S = 9 10
N 3
S ^ 4 8
W indeed
N 1
N 3
N 1
N 12
N 1
N 2
N 11
N 4
N 8
N 4
N 3
N 9
S @ 10 16
N 12
N 10
N 12
N 13
S & 7 13
S ~ 8 12
N 1
N 14
N 13
S - 5 8
S | 4 6
S + 3 6
S ~ 7 9
W matter
S & 5 11
S + 6 8
S # 8 11
S # 7 10
W standard
W whom
N 4
S # 6 9
S / 5 11
S ^ 2 6
N 11
N 12
S @ 8 14
N 2
N 5
W elitist
N 8
N 8
N 4
N 6
N 3
N 15
S @ 3 9
N 5
N 6
S @ 4 9
S ^ 2 3
N 3
N 9
W fill
N 5
N 6
N 1
N 11
S @ 9 12
W final
S $ 9 12
S / 7 11
S ! 2 3
N 6
S - 5 10
W alone
W once
N 8
N 6
S - 2 6
N 14
N 15
S | 9 15
N 1
S ^ 9 13
S = 8 14
N 4
N 4
N 11
N 3
S + 3 7
W listen
S @ 6 9
S @ 7 11
S = 6 8
N 5
N 14
N 7
S ^ 3 4
N 5
N 6
N 3
W culture
N 5
N 13
N 7
N 10
N 6
N 15
W show
S * 10 14
S ~ 5 7
S = 8 13
W heat
S % 9 14
N 14
S # 6 8
S # 9 13
N 13
N 14
S ~ 2 8
N 4
W chance
N 1
W spend
N 8
W event
S + 3 9
S % 4 8
W draw
N 14
N 6
N 8
S & 2 7
S * 3 5
N 7
N 8
W produce
W such
N 9
N 11
S % 8 10
S | 4 7
N 5
S + 4 7
S - 9 10
N 11
N 3
S - 8 10
N 5
S & 8 11
N 1
N 15
N 12
S @ 4 10
N 2
S - 3 8
N 5
N 15
N 15
S + 6 10
S @ 6 11
N 7
N 7
W year
N 5
S * 7 9
S ! 3 6
S - 1 7
S $ 6 12
S ~ 7 8
S | 6 8
S # 8 14
S + 3 9
W whole
N 7
S | 8 9
N 13
S / 7 10
N 11
W design
N 11
N 6
N 9
S ! 5 11
S - 10 16
N 3
S # 6 7
N 2
N 13
N 8
N 4
S % 1 6
N 14
N 14
N 3
N 13
N 15
S ! 7 12
N 4
S ^ 10 11
W contagious
N 9
S & 4 5
N 13
N 14
N 2
S ~ 5 11
S ! 6 12
N 5
S + 4 9
W anything
S % 9 14
N 14
N 6
S + 7 11
W walk
S | 6 7
W tigress
S & 9 14
S / 4 10
N 3
N 4
S / 2 3
N 3
S / 3 8
N 3
N 8
S | 7 11
S ~ 1 2
W main
N 13
W collection
N 2
S + 4 10
N 14
W panda
S / 9 13
S ~ 10 13
S $ 9 15
N 2
N 4
N 5
S & 6 7
S # 3 6
W building
S @ 1 7
N 7
S = 8 12
N 2
S ~ 3 7
S = 8 10
N 13
S @ 7 13
N 2
N 7
N 6
N 10
N 4
W civil
N 4
N 12
W must
N 12
N 1
N 8
S ^ 6 12
N 10
W whatever
N 9
S = 1 7
S / 5 7
N 13
S * 2 6
N 14
S ! 3 6
W threat
N 9
S $ 2 3
S $ 1 3
N 1
S | 6 12
N 13
W place
N 6
N 14
W back
N 2
S $ 8 11
N 13
S + 4 9
N 4
N 1
S & 2 4
S % 8 9
N 14
N 12
N 11
S | 3 8
S - 10 12
S @ 2 3
S | 5 10
N 7
S ! 9 12
S ^ 4 5
S / 6 7
N 3
S * 4 7
W birder
N 5
S / 5 7
N 13
N 11
W also
S # 9 10
N 15
N 15
S % 7 8
N 2
S * 4 9
S | 10 16
N 10
S ^ 6 7
N 4
S ~ 5 10
S / 3 4
N 8
N 13
S - 3 6
N 6
N 1
N 8
S + 9 15
S * 9 12
S ^ 7 11
N 7
N 10
S ! 5 8
N 3
N 13
N 4
S - 4 6
N 10
S % 10 15
S * 9 12
S $ 7 13
N 15
S | 9 11
S - 3 7
N 1
N 15
N 9
S @ 9 15
W upon
N 10
S @ 2 6
S | 7 13
S ! 5 11
N 14
W idea
W billion
S $ 6 10
N 8
N 13
N 6
S * 9 15
W resource
N 10
W crime
N 1
S - 4 8
N 11
N 8
S & 4 7
S | 1 5
S ^ 5 7
S = 7 12
S ! 6 9
W camera
W consumer
S $ 7 12
S - 3 8
S & 8 12
N 13
S / 8 12
N 12
S + 5 7
N 3
N 13
S = 2 4
S | 3 8
N 8
S $ 3 9
S + 8 12
S ^ 8 10
S ~ 1 4
S # 3 7
N 14
N 7
N 2
S ! 1 3
N 14
N 4
N 3
N 4
W ahead
S | 5 8
S $ 4 10
N 4
S % 4 8
S ~ 10 16
N 15
N 1
N 12
S = 6 11
S + 7 12
N 3
W send
S * 10 13
N 1
S ! 6 9
N 8
N 10
N 7
N 2
N 4
N 2
S ! 6 9
N 5
S $ 5 7
W wish
N 4
S ~ 7 11
N 4
N 7
S ! 3 6
N 9
S ~ 7 12
W suffer
S & 10 12
S # 9 15
S # 4 8
N 13
N 9
S - 7 8
N 14
N 14
N 12
S $ 4 9
N 6
N 14
S ! 4 7
W garden
N 3
S - 10 12
N 11
N 5
N 2
N 14
N 7
W better
S @ 1 3
N 7
N 15
S & 7 11
S = 1 2
W voice
S / 10 16
N 9
N 4
N 12
N 11
N 9
S $ 1 4
S ! 8 14
N 7
N 15
N 3
N 11
N 7
N 7
W food
N 2
N 12
N 12
N 3
S # 7 12
W husband
W thing
S ^ 9 13
N 4
N 12
N 8
S | 8 10
W look
N 5
N 2
N 8
W detail
S $ 4 6
N 6
S + 7 8
S $ 2 6
N 8
W decision
S + 5 7
S * 2 6
S = 9 15
W analysis
N 4
S ! 7 8
S & 3 9
S - 8 11
S + 8 11
N 5
W life
S % 6 10
W remember
N 8
N 15
N 13
N 13
N 13
N 15
S & 1 3
S ! 6 7
N 12
N 7
S | 8 9
S % 10 16
N 3
N 4
N 14
N 9
S $ 1 2
N 14
S ~ 10 11
W president
W again
N 14
S * 5 9
N 15
S ^ 3 9
W keep
S # 7 9
N 5
N 5
S @ 7 8
S + 7 11
W hair
N 2
S % 6 7
N 9
N 10
W know
S = 5 10
N 13
N 12
N 6
S = 5 9
S - 1 2
N 5
S = 10 16
N 8
S ! 5 6
W everyone
N 13
N 7
S | 5 6
N 15
S * 7 10
S / 6 7
S ~ 10 14
S = 9 10
N 13
N 1
N 15
S @ 4 9
N 13
N 9
S - 10 12
N 7
N 14
W sound
N 5
N 15
N 9
W fire
S ! 7 9
S * 7 9
N 12
N 12
W period
S % 5 6
N 13
S $ 7 13
N 3
W popular
S & 3 5
W first
N 3
S # 10 15
N 6
N 11
S / 9 11
N 12
N 3
N 3
S % 3 8
S * 9 15
N 8
S * 2 4
S # 4 10
N 2
N 14
S ^ 9 15
S ^ 7 11
N 5
N 2
N 11
N 2
W current
S + 1 7
N 4
W turn
W entire
N 1
S & 9 13
S / 7 12
